,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,Year,AvgCPIUSD,Budget2017,Gross2017,Gross-Budget2017,Action,ActionAdventure,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Romance,Sci-Fi,Sport,Thriller,War,Western
10, Black and White,William Wyler,97.0,172.0,355,188.0,Teresa Wright,749.0,23650000,"Drama, Romance, War",Myrna Loy,The Best Years of Our Lives ,40359,1941,Dana Andrews,5.0,"love ,pity ,readjusting to civilian life ,veteran ,world war two veteran",http://www.imdb.com/title/tt0036868/?ref_=fn_tt_tt_1,235,English,USA,Not Rated,2100000,1946,208.0,8.1,1.37,0,1946,19.5,26192923.08,294982205.1,268789282.1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
11, Black and White,Orson Welles,90.0,92.0,0,18.0,Everett Sloane,1000.0,7927,"Crime, Drama, Film-Noir, Mystery, Thriller",Rita Hayworth,The Lady from Shanghai ,19236,1055,Ted de Corsia,1.0,"law partner ,murder ,partner ,seaman ,yacht",http://www.imdb.com/title/tt0040525/?ref_=fn_tt_tt_1,175,English,USA,Not Rated,2300000,1947,29.0,7.7,1.37,0,1947,22.3,25085470.85,86457.62062999999,-24999013.23,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
12,Color,Vincente Minnelli,41.0,102.0,136,48.0,Reginald Owen,89.0,2956000,"Adventure, Comedy, Musical, Romance",Gladys Cooper,The Pirate ,3258,282,Ellen Ross,0.0,"hoop ,horseback riding ,love ,pirate ,singer",http://www.imdb.com/title/tt0040694/?ref_=fn_tt_tt_1,54,English,USA,Approved,3700000,1948,78.0,7.1,1.37,359,1948,24.1,37340829.88,29832295.44,-7508534.44,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
13,Color,George Sidney,21.0,107.0,24,83.0,Howard Keel,277.0,8000000,"Biography, Comedy, Musical, Romance, Western",Keenan Wynn,Annie Get Your Gun ,3167,731,Betty Hutton,0.0,"girl ,gun ,love ,sharpshooter ,the end",http://www.imdb.com/title/tt0042200/?ref_=fn_tt_tt_1,90,English,USA,Passed,3768785,1950,244.0,7.0,1.37,456,1950,24.1,38035016.09,80736929.46,42701913.37,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1
14,Color,Cecil B. DeMille,44.0,152.0,309,132.0,Dorothy Lamour,232.0,36000000,"Drama, Family, Romance",Gloria Grahame,The Greatest Show on Earth ,9456,825,Cornel Wilde,0.0,"circus ,clown ,elephant trainer ,trapeze ,trapeze artist",http://www.imdb.com/title/tt0044672/?ref_=fn_tt_tt_1,107,English,USA,Not Rated,4000000,1952,178.0,6.7,1.37,625,1952,26.5,36712452.83,330412075.5,293699622.6,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
15, Black and White,Eug??ne Louri?,67.0,80.0,7,21.0,Cecil Kellaway,57.0,5000000,"Adventure, Horror, Sci-Fi",Kenneth Tobey,"The Beast from 20,000 Fathoms ",4812,205,Ross Elliott,0.0,"arctic ,beast ,dinosaur ,monster ,rhedosaurus",http://www.imdb.com/title/tt0045546/?ref_=fn_tt_tt_1,88,English,USA,Approved,210000,1953,40.0,6.7,1.37,465,1953,26.7,1912966.292,45546816.48,43633850.19,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
16,Color,Henry Koster,42.0,135.0,28,275.0,Jean Simmons,726.0,36000000,"Drama, History",Richard Burton,The Robe ,6359,1920,Victor Mature,1.0,"box office hit ,crucifixion ,nightmare ,palestine ,robe",http://www.imdb.com/title/tt0046247/?ref_=fn_tt_tt_1,69,English,USA,Unrated,5000000,1953,422.0,6.8,2.2,0,1953,26.7,45546816.48,327937078.7,282390262.2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
17, Black and White,Elia Kazan,134.0,108.0,603,279.0,Karl Malden,10000.0,9600000,"Crime, Drama, Romance",Marlon Brando,On the Waterfront ,100890,11094,Rod Steiger,2.0,"death ,dock ,longshoreman ,murder ,union",http://www.imdb.com/title/tt0047296/?ref_=fn_tt_tt_1,281,English,USA,Not Rated,910000,1954,416.0,8.2,1.85,0,1954,26.9,8227888.476,86799702.6,78571814.13,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
18,Color,David Lean,122.0,161.0,767,87.0,Sessue Hayakawa,682.0,27200000,"Adventure, Drama, War",William Holden,The Bridge on the River Kwai ,149444,1035,Jack Hawkins,2.0,"allies ,bridge ,construction ,jungle ,sabotage",http://www.imdb.com/title/tt0050212/?ref_=fn_tt_tt_1,273,English,UK,PG,3000000,1957,119.0,8.2,2.35,0,1957,28.1,25966548.04,235430035.6,209463487.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
19, Black and White,Billy Wilder,181.0,120.0,0,102.0,Joe E. Brown,105.0,25000000,"Comedy, Music, Romance",Nehemiah Persoff,Some Like It Hot ,175196,527,George Raft,2.0,"all girl band ,band ,cross dressing ,musician ,yacht",http://www.imdb.com/title/tt0053291/?ref_=fn_tt_tt_1,350,English,USA,Not Rated,2883848,1959,103.0,8.3,1.66,10000,1959,29.1,24103419.61,208951890.0,184848470.4,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
20, Black and White,Alfred Hitchcock,290.0,108.0,13000,285.0,Vera Miles,606.0,32000000,"Horror, Mystery, Thriller",Janet Leigh,Psycho ,422432,1885,John Gavin,2.0,"money ,motel ,rain ,shower ,theft",http://www.imdb.com/title/tt0054215/?ref_=fn_tt_tt_1,1040,English,USA,R,806947,1960,332.0,8.5,1.85,18000,1960,29.6,6630596.261,262940540.5,256309944.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
21,Color,Jerome Robbins,120.0,152.0,34,249.0,George Chakiris,804.0,43650000,"Crime, Drama, Musical, Romance, Thriller",Rita Moreno,West Side Story ,71919,1802,Richard Beymer,0.0,"dance ,gang ,new york city ,puerto rican ,tragedy",http://www.imdb.com/title/tt0055614/?ref_=fn_tt_tt_1,316,English,USA,Unrated,6000000,1961,271.0,7.6,2.2,0,1961,29.9,48806688.96,355068662.2,306261973.2,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0
22,Color,David Lean,181.0,227.0,767,87.0,Jos? Ferrer,607.0,6000000,"Adventure, Biography, Drama, History, War",Claude Rains,Lawrence of Arabia ,192775,1076,Jack Hawkins,8.0,"arab ,british military ,desert ,ottoman empire ,t.e. lawrence",http://www.imdb.com/title/tt0056172/?ref_=fn_tt_tt_1,559,English,UK,PG,15000000,1962,202.0,8.4,2.2,11000,1962,30.2,120804635.8,48321854.3,-72482781.46,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
23,Color,Terence Young,184.0,110.0,92,177.0,Jack Lord,650.0,16067035,"Action, Adventure, Thriller",Ursula Andress,Dr. No ,116642,1421,Lois Maxwell,4.0,"british secret service ,hand to hand combat ,murder ,official james bond series ,terrorist plot",http://www.imdb.com/title/tt0055928/?ref_=fn_tt_tt_1,389,English,UK,Approved,1100000,1962,275.0,7.3,1.37,5000,1962,30.2,8859006.623,129398154.1,120539147.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,Color,Terence Young,167.0,115.0,92,177.0,Daniela Bianchi,559.0,24800000,"Action, Adventure, Thriller",Robert Shaw,From Russia with Love ,89403,1456,Lois Maxwell,0.0,"assassin ,british agent ,british secret service ,decoder ,russian",http://www.imdb.com/title/tt0057076/?ref_=fn_tt_tt_1,358,English,UK,Approved,2000000,1963,201.0,7.5,1.37,0,1963,30.6,15896732.03,197119477.1,181222745.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,Color,Joseph L. Mankiewicz,72.0,251.0,311,595.0,Richard Burton,940.0,57750000,"Biography, Drama, History, Romance",Martin Landau,Cleopatra ,21554,2957,Roddy McDowall,2.0,"cleopatra ,egypt ,epic ,queen ,roman empire",http://www.imdb.com/title/tt0056937/?ref_=fn_tt_tt_1,192,English,UK,Approved,31115000,1963,726.0,7.0,2.2,0,1963,30.6,247313408.5,459018137.3,211704728.8,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
26,Color,Stanley Kramer,61.0,197.0,176,760.0,Sid Caesar,924.0,46300000,"Action, Adventure, Comedy, Crime",Jonathan Winters,"It's a Mad, Mad, Mad, Mad World ",29323,4109,Spencer Tracy,0.0,"california ,desert ,dying words ,money ,race",http://www.imdb.com/title/tt0057193/?ref_=fn_tt_tt_1,344,English,USA,Approved,9400000,1963,898.0,7.6,2.76,0,1963,30.6,74714640.52,368009346.4,293294705.9,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27, Black and White,Michael Roemer,24.0,95.0,0,87.0,Gloria Foster,581.0,12438,"Drama, Romance",Yaphet Kotto,Nothing But a Man ,891,835,Ivan Dixon,1.0,"1960s ,father ,railroad ,town ,worker",http://www.imdb.com/title/tt0058414/?ref_=fn_tt_tt_1,26,English,USA,Not Rated,160000,1964,99.0,8.1,,363,1964,31.0,1255329.0320000001,97586.14065,-1157742.892,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
28, Black and White,Richard Lester,105.0,87.0,44,704.0,Ringo Starr,785.0,515005,"Comedy, Musical",Paul McCartney,A Hard Day's Night ,31429,2538,George Harrison,1.0,"boy ,concert ,drummer ,manager ,television",http://www.imdb.com/title/tt0058182/?ref_=fn_tt_tt_1,219,English,UK,Approved,560000,1964,725.0,7.7,1.75,0,1964,31.0,4393651.613,4040629.5519999997,-353022.0613,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
29,Color,Guy Hamilton,164.0,110.0,82,177.0,Gert Fr?_be,387.0,51100000,"Action, Adventure, Thriller",Honor Blackman,Goldfinger ,139432,1198,Lois Maxwell,2.0,"bikini ,covered in melted gold ,fort knox ,gold ,pilot",http://www.imdb.com/title/tt0058150/?ref_=fn_tt_tt_1,418,English,UK,Approved,3000000,1964,202.0,7.8,1.37,0,1964,31.0,23537419.35,400920709.7,377383290.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,Color,George Cukor,82.0,170.0,165,244.0,Rex Harrison,453.0,72000000,"Drama, Family, Musical, Romance",Jeremy Brett,My Fair Lady ,66959,1164,Theodore Bikel,1.0,"colonel ,flower girl ,professor ,street ,wager",http://www.imdb.com/title/tt0058385/?ref_=fn_tt_tt_1,258,English,USA,Approved,17000000,1964,272.0,7.9,2.2,0,1964,31.0,133378709.7,564898064.5,431519354.8,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0
31,Color,Robert Stevenson,145.0,139.0,55,266.0,Glynis Johns,382.0,102300000,"Comedy, Family, Fantasy, Musical",Ed Wynn,Mary Poppins ,107408,2045,Elsa Lanchester,2.0,"banker ,female protagonist ,live action and animation ,magic ,nanny",http://www.imdb.com/title/tt0058331/?ref_=fn_tt_tt_1,259,English,USA,Approved,6000000,1964,279.0,7.8,1.66,0,1964,31.0,47074838.71,802626000.0,755551161.3,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0
32,Color,George Stevens,27.0,225.0,126,202.0,Carroll Baker,940.0,8000000,"Biography, Drama, History",Martin Landau,The Greatest Story Ever Told ,6484,1934,Jos? Ferrer,6.0,"70mm film ,biblical epic ,faith ,jewish ,king herod",http://www.imdb.com/title/tt0059245/?ref_=fn_tt_tt_1,100,English,USA,G,20000000,1965,208.0,6.6,2.76,1000,1965,31.5,154425396.8,61770158.73,-92655238.1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
33,Color,Sam Peckinpah,53.0,152.0,541,288.0,Slim Pickens,773.0,14873,"Adventure, War, Western",James Coburn,Major Dundee ,5294,2888,Warren Oates,2.0,"apache ,apache indian ,confederate ,mexico ,scout",http://www.imdb.com/title/tt0059418/?ref_=fn_tt_tt_1,67,English,USA,Approved,3800000,1965,575.0,6.8,2.35,251,1965,31.5,29340825.4,114838.4463,-29225986.95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
34,Color,Terence Young,129.0,130.0,92,177.0,Earl Cameron,244.0,63600000,"Action, Adventure, Thriller",Desmond Llewelyn,Thunderball ,82073,1164,Lois Maxwell,1.0,"domino ,fiery redhead ,nassau ,official james bond series ,underwater battle",http://www.imdb.com/title/tt0059800/?ref_=fn_tt_tt_1,275,English,UK,Approved,9000000,1965,189.0,7.0,2.35,0,1965,31.5,69491428.57,491072761.9,421581333.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35,Color,David Lean,89.0,200.0,767,382.0,Klaus Kinski,597.0,111722000,"Drama, Romance, War",Julie Christie,Doctor Zhivago ,55816,1966,Geraldine Chaplin,2.0,"bolshevik ,poet ,poetry ,russia ,russian revolution",http://www.imdb.com/title/tt0059113/?ref_=fn_tt_tt_1,255,English,USA,PG-13,11000000,1965,396.0,8.0,2.35,7000,1965,31.5,84933968.25,862635709.2,777701741.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
36,Color,Robert Wise,119.0,174.0,338,195.0,Angela Cartwright,354.0,163214286,"Biography, Drama, Family, Musical, Romance",Eleanor Parker,The Sound of Music ,148172,1495,Nicholas Hammond,3.0,"austria ,children ,governess ,love ,orchestral music score",http://www.imdb.com/title/tt0059742/?ref_=fn_tt_tt_1,406,English,USA,G,8200000,1965,209.0,8.0,2.35,15000,1965,31.5,63314412.7,1260221544.0,1196907131.0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0
37,Color,Lewis Gilbert,130.0,117.0,43,244.0,Burt Kwouk,742.0,43100000,"Action, Adventure, Thriller",Donald Pleasence,You Only Live Twice ,75280,2127,Desmond Llewelyn,0.0,"faked death ,japan ,japanese ,poison ,secret headquarters",http://www.imdb.com/title/tt0062512/?ref_=fn_tt_tt_1,267,English,UK,Approved,9500000,1967,462.0,6.9,2.35,0,1967,33.4,69179341.32,313855748.5,244676407.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,Color,Carol Reed,56.0,153.0,82,139.0,Ron Moody,695.0,16800000,"Drama, Family, Musical",Oliver Reed,Oliver! ,25303,1593,Jack Wild,1.0,"abuse ,child ,orphan ,orphanage ,pickpocket",http://www.imdb.com/title/tt0063385/?ref_=fn_tt_tt_1,138,English,UK,G,10000000,1968,275.0,7.5,2.35,0,1968,34.8,69890804.6,117416551.7,47525747.13,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0
39,Color,Stanley Kubrick,285.0,161.0,0,73.0,Gary Lockwood,273.0,56715371,"Adventure, Mystery, Sci-Fi",Keir Dullea,2001: A Space Odyssey ,427357,727,Glenn Beck,0.0,"ancient astronaut ,famous line ,message from outer space ,monolith ,star child",http://www.imdb.com/title/tt0062622/?ref_=fn_tt_tt_1,1736,English,UK,G,12000000,1968,117.0,8.3,2.2,24000,1968,34.8,83868965.52,396388291.2,312519325.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40,Color,Peter R. Hunt,143.0,142.0,13,244.0,George Lazenby,803.0,22800000,"Action, Adventure, Thriller",Telly Savalas,On Her Majesty's Secret Service ,59941,1769,Desmond Llewelyn,2.0,"bond girl ,british ,mission ,portugal ,switzerland",http://www.imdb.com/title/tt0064757/?ref_=fn_tt_tt_1,452,English,UK,M,7000000,1969,314.0,6.8,2.35,0,1969,36.7,46390735.69,151101253.4,104710517.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,Color,George Roy Hill,130.0,110.0,131,399.0,Ted Cassidy,640.0,102308900,"Biography, Crime, Drama, Western",Katharine Ross,Butch Cassidy and the Sundance Kid ,152089,2169,Kenneth Mars,1.0,"bolivia ,gang ,outlaw ,posse ,train",http://www.imdb.com/title/tt0064115/?ref_=fn_tt_tt_1,309,English,USA,M,6000000,1969,566.0,8.1,2.35,0,1969,36.7,39763487.74,678026448.4,638262960.7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
42,Color,Blake Edwards,22.0,143.0,688,42.0,Vernon Dobtcheff,638.0,5000000,"Comedy, Drama, Musical, Romance, War",Rock Hudson,Darling Lili ,1547,788,Jeremy Kemp,2.0,"crepe suzette ,french ,mata hari spoof ,song ,spy",http://www.imdb.com/title/tt0065611/?ref_=fn_tt_tt_1,50,English,USA,G,25000000,1970,50.0,6.2,2.35,104,1970,38.8,156713917.5,31342783.51,-125371134.0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0
43,Color,Richard Fleischer,79.0,160.0,130,288.0,Richard Anderson,469.0,14500000,"Action, Drama, History, War",Joseph Cotten,Tora! Tora! Tora! ,25019,1548,James Whitmore,0.0,"attack ,hawaii ,navy ,pearl harbor ,u.s. navy",http://www.imdb.com/title/tt0066473/?ref_=fn_tt_tt_1,159,English,Japan,G,25000000,1970,377.0,7.5,2.35,0,1970,38.8,156713917.5,90894072.16,-65819845.36,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
44,Color,Russ Meyer,101.0,109.0,199,44.0,Cynthia Myers,503.0,9000000,"Comedy, Drama, Music",Charles Napier,Beyond the Valley of the Dolls ,7584,731,Harrison Page,8.0,"band ,drugs ,friendship ,hollywood ,satire",http://www.imdb.com/title/tt0065466/?ref_=fn_tt_tt_1,137,English,USA,X,900000,1970,46.0,6.2,2.35,0,1970,38.8,5641701.031,56417010.31,50775309.28,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
45,Color,Michael Wadleigh,53.0,215.0,14,136.0,Jimi Hendrix,262.0,13300000,"Documentary, History, Music",Joe Cocker,Woodstock ,12631,778,Joan Baez,0.0,"drugs ,hippie ,music festival ,the who ,woodstock",http://www.imdb.com/title/tt0066580/?ref_=fn_tt_tt_1,63,English,USA,R,600000,1970,227.0,8.1,2.2,0,1970,38.8,3761134.021,83371804.12,79610670.1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
46,Color,James Bidgood,8.0,65.0,0,,Bobby Kendall,0.0,8231,"Drama, Fantasy",Don Brooks,Pink Narcissus ,803,0,,1.0,"male frontal nudity ,male pubic hair ,male rear nudity ,pubic hair ,street hustler",http://www.imdb.com/title/tt0067580/?ref_=fn_tt_tt_1,16,English,USA,Not Rated,27000,1971,0.0,6.7,1.37,85,1971,40.5,162146.6667,49430.7116,-112715.9551,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
47,Color,Melvin Van Peebles,38.0,97.0,101,101.0,Mario Van Peebles,982.0,15180000,"Crime, Drama, Thriller",John Amos,Sweet Sweetback's Baadasssss Song ,3340,1631,Melvin Van Peebles,1.0,"black panther ,hells angels ,on the run ,racist ,racist cop",http://www.imdb.com/title/tt0067810/?ref_=fn_tt_tt_1,50,English,USA,R,500000,1971,535.0,5.5,1.37,566,1971,40.5,3002716.0489999996,91162459.26,88159743.21,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
48,Color,Guy Hamilton,120.0,120.0,82,175.0,Lois Maxwell,244.0,43800000,"Action, Adventure, Thriller",Desmond Llewelyn,Diamonds Are Forever ,74249,1105,Jill St. John,2.0,"cat ,diamond ,ford mustang ,james bond 007 ,yanked off bikini top",http://www.imdb.com/title/tt0066995/?ref_=fn_tt_tt_1,276,English,UK,GP,7200000,1971,177.0,6.7,2.35,0,1971,40.5,43239111.11,263037925.9,219798814.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
49,Color,Norman Jewison,66.0,181.0,278,51.0,Paul Michael Glaser,402.0,50000000,"Drama, Family, Musical, Romance",Topol,Fiddler on the Roof ,29839,934,Rosalind Harris,0.0,"immigration ,jewish ,pogrom ,tradition ,tradition versus modernity",http://www.imdb.com/title/tt0067093/?ref_=fn_tt_tt_1,150,English,USA,G,9000000,1971,343.0,8.0,2.35,0,1971,40.5,54048888.89,300271604.9,246222716.0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0
50,Color,John Waters,73.0,108.0,0,105.0,Mink Stole,462.0,180483,"Comedy, Crime, Horror",Divine,Pink Flamingos ,16792,760,Edith Massey,2.0,"absurd humor ,egg ,gross out humor ,lesbian ,sex",http://www.imdb.com/title/tt0069089/?ref_=fn_tt_tt_1,183,English,USA,NC-17,10000,1972,143.0,6.1,1.37,0,1972,41.8,58186.60287,1050169.265,991982.6617,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
51,Color,Francis Ford Coppola,208.0,175.0,0,3000.0,Marlon Brando,14000.0,134821952,"Crime, Drama",Al Pacino,The Godfather ,1155770,28122,Robert Duvall,1.0,"crime family ,mafia ,organized crime ,patriarch ,rise to power",http://www.imdb.com/title/tt0068646/?ref_=fn_tt_tt_1,2238,English,USA,R,6000000,1972,10000.0,9.2,1.85,43000,1972,41.8,34911961.72,784483137.9,749571176.2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
52,Color,Martin Scorsese,112.0,112.0,17000,354.0,David Carradine,22000.0,32645,"Crime, Drama, Romance, Thriller",Robert De Niro,Mean Streets ,67797,23737,David Proval,0.0,"bar ,catholic guilt ,epilepsy ,italian american ,money",http://www.imdb.com/title/tt0070379/?ref_=fn_tt_tt_1,223,English,USA,R,500000,1973,926.0,7.4,1.85,0,1973,44.4,2738963.9639999997,178826.9572,-2560137.0069999998,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
